REUR,REUR
5,5
6,5
7,7
5,5
9,4
3,2
10,2
3,4
8,2
10,3
6,2
10,2
5,8
4,3
5,2
4,8
4,7
4,3
4,5
10,2
2,10
5,2
2,7
10,2
6,2
6,3
2,4
6,2
2,7
10,3
6,4
10,2
6,3
5,4
5,3
2,5
4,2
5,9
5,7
5,4
3,4
2,2
4,5
6,2
2,4
3,4
8,4
5,2
10,2
5,4
4,2
5,5
5,2
6,4
10,2
5,10
6,4
3,3
3,5
7,2
2,4
5,5
4,4
2,5
7,5
10,2
6,3
6,4
4,5
2,4
5,2
4,7
5,2
6,2
4,4
8,2
3,4
2,5
6,2
4,2
7,5
7,4
3,2
6,3
5,6
2,2
4,2
6,4
4,2
4,4
5,3
3,4
8,3
5,2
4,6
4,4
2,2
7,5
10,5
5,6
5,7
4,2
3,4
6,3
5,2
4,2
8,3
3,2
2,2
9,2
4,4
2,3
3,10
4,2
6,2
2,2
7,6
4,2
2,2
8,5
7,2
6,4
3,4
7,3
3,3
2,4
3,2
3,5
10,2
10,2
4,3
7,4
7,3
8,2
4,3
5,3
9,4
3,2
4,4
7,2
5,4
3,4
4,8
6,5
2,4
6,2
4,6
3,2
4,2
4,2
5,2
5,5
2,2
3,3
7,7
6,4
6,10
4,2
6,2
3,3
6,2
6,3
3,7
2,3
7,3
8,2
3,9
6,4
5,5
5,2
2,2
5,2
7,2
5,4
3,3
4,4
3,5
2,2
5,2
5,2
3,4
2,5
7,4
11,2
11,4
3,5
7,2
6,2
3,2
2,4
6,2
4,2
9,3
3,3
7,6
6,2
8,4
2,5
4,4
4,2
6,4
8,2
3,2
5,3
6,6
5,3
4,2
3,6
3,2
4,5
6,9
4,4
4,4
4,2
10,2
8,6
4,8
4,5
6,4
3,4
4,2
3,4
6,2
10,5
5,4
3,4
5,2
5,4
4,5
4,6
6,2
2,3
4,4
8,8
4,6
4,2
5,6
4,3
3,5
3,10
4,3
4,6
9,5
3,2
4,2
6,5
6,4
4,5
4,2
4,4
2,2
4,2
4,6
6,6
5,5
8,4
4,2
6,2
2,3
6,2
4,2
5,2
3,8
9,2
2,4
11,3
6,2
8,3
2,5
7,2
6,3
4,2
5,3
3,4
7,2
10,2
6,4
3,3
5,3
7,3
6,2
6,4
6,2
10,2
2,5
2,2
7,3
6,4
7,4
8,3
3,3
9,4
10,5
6,2
3,5
3,2
3,3
4,5
3,3
6,2
