RL-FF-HIER,REUR
9,2
6,5
6,2
10,2
9,2
3,3
5,7
10,2
10,5
7,3
5,5
3,5
2,4
7,2
4,3
4,2
7,3
10,5
4,3
10,2
3,2
5,3
8,2
6,5
4,3
8,2
7,3
9,3
6,5
10,3
6,3
10,6
10,3
10,2
2,2
10,2
8,3
6,2
10,2
6,2
11,3
6,5
10,4
5,3
10,3
5,6
10,3
5,4
10,2
10,5
4,2
5,2
10,2
10,3
5,3
10,5
10,2
5,2
6,3
10,5
11,2
10,2
10,2
10,2
9,4
7,3
7,3
4,3
4,4
11,2
9,4
6,6
11,2
8,4
5,2
10,4
3,4
10,3
10,3
7,5
10,2
9,5
11,2
9,6
9,4
4,4
9,3
8,2
10,3
10,4
8,2
10,2
10,2
10,4
5,2
10,3
10,2
10,4
10,2
10,2
10,4
10,5
5,2
10,4
5,2
7,2
9,3
10,2
10,3
8,5
10,2
11,3
10,3
6,3
10,2
10,2
11,2
10,4
8,7
10,2
6,2
7,4
10,2
10,2
5,6
10,4
8,2
10,2
10,3
6,3
10,3
4,6
7,9
4,4
10,3
10,2
10,2
5,3
10,3
6,3
9,4
7,3
10,3
10,2
6,5
12,2
5,7
10,2
10,3
10,5
6,5
10,3
6,3
6,2
6,2
5,3
6,2
10,2
5,6
10,2
4,6
5,3
4,9
8,6
10,2
10,2
10,4
6,2
8,2
10,3
10,2
10,2
10,2
10,2
10,2
6,2
10,2
10,2
8,5
10,2
10,2
5,2
10,2
11,2
6,5
10,2
10,2
10,2
10,2
11,3
8,4
10,2
10,2
10,2
10,2
11,2
3,10
9,3
10,2
5,2
10,2
10,2
3,8
10,2
11,2
10,2
10,2
10,4
10,2
10,4
10,2
10,3
8,3
10,2
11,3
8,4
9,4
10,2
11,4
4,2
10,7
10,2
10,4
10,2
11,2
10,2
10,2
10,2
10,6
6,3
11,2
10,2
10,2
10,2
10,3
7,4
10,3
10,4
10,3
10,2
11,5
10,2
10,2
10,2
10,2
11,2
10,2
10,3
10,2
10,2
10,3
10,2
10,3
11,2
10,2
10,4
10,3
6,5
10,2
10,2
10,2
11,2
10,2
10,4
8,4
10,2
9,2
11,2
10,2
11,5
10,2
10,2
9,2
9,5
10,3
10,4
10,3
5,3
10,2
11,3
10,2
10,2
10,3
11,3
10,2
11,2
10,5
10,2
10,2
10,2
10,3
10,5
11,2
10,3
10,2
10,2
10,3
10,2
10,3
10,2
