RL-GNN-STREET,REUR
5,5
10,2
7,4
2,5
7,5
8,2
10,5
4,3
8,2
10,3
3,3
2,10
4,6
3,9
2,3
6,8
10,4
4,2
6,2
11,2
6,6
6,2
8,2
4,11
5,3
11,2
10,4
2,4
9,4
9,3
2,2
9,3
10,2
7,6
9,7
10,2
10,2
9,4
9,4
10,4
8,5
8,2
7,3
3,9
10,2
7,7
9,2
10,2
10,3
4,6
8,7
11,2
5,3
10,3
6,5
10,6
8,4
10,3
11,4
3,3
6,4
5,3
7,2
5,2
10,2
5,7
10,2
10,4
9,2
11,2
8,2
9,4
6,3
5,5
10,2
3,10
9,5
4,2
2,2
11,5
4,4
7,2
5,5
10,7
10,2
10,2
6,8
5,3
4,3
7,2
8,5
3,10
10,4
7,3
8,5
3,5
10,2
6,4
8,6
7,3
10,2
2,11
7,2
4,5
10,3
7,2
10,2
8,2
9,2
10,3
10,2
10,3
4,3
10,2
10,2
10,3
10,3
7,5
11,3
10,2
3,7
10,2
11,2
10,2
10,2
8,5
9,2
6,6
11,2
10,2
10,2
10,2
10,2
9,3
4,2
10,3
3,5
2,3
10,2
4,2
5,3
10,2
4,2
10,3
9,5
10,2
10,3
8,4
11,3
10,4
10,2
10,2
7,2
5,3
11,2
10,2
4,8
4,5
11,2
10,2
8,4
4,4
10,2
8,3
2,5
8,2
10,2
10,3
10,4
9,4
4,2
10,2
10,2
10,8
10,2
10,2
10,3
10,2
9,5
11,2
10,5
10,2
10,3
10,2
10,4
10,2
10,6
10,4
3,2
10,3
10,2
6,3
10,2
8,2
10,2
6,6
11,4
10,4
10,2
9,2
10,2
11,4
7,2
10,4
3,4
10,2
4,4
10,4
7,2
10,3
8,4
4,6
7,2
10,2
10,5
11,2
10,2
10,5
10,2
11,4
11,2
10,3
3,7
3,6
10,2
10,2
8,4
10,2
11,2
9,5
10,4
4,6
3,3
10,2
6,2
10,3
10,2
10,3
10,2
10,2
7,3
10,2
8,2
10,4
10,3
6,2
10,5
10,2
11,2
10,2
10,9
8,6
10,3
10,2
9,4
6,2
5,2
7,2
10,5
10,2
10,2
10,2
10,2
11,2
10,2
10,2
10,2
6,2
9,5
10,2
11,2
10,2
10,6
10,6
10,2
10,2
11,3
10,4
7,8
10,3
10,2
11,2
10,3
10,2
10,2
10,3
10,3
5,6
10,2
11,2
9,2
10,2
10,2
10,2
10,2
3,4
9,2
11,2
10,3
10,2
