RL-GNN-HIER,REUR
2,2
9,4
3,3
2,2
9,2
7,6
8,3
3,10
3,10
10,2
10,5
9,2
4,3
8,6
10,2
10,4
10,2
6,7
6,4
10,2
10,2
7,4
7,3
6,6
7,2
10,2
10,2
7,2
7,4
5,2
9,3
9,2
10,2
5,3
7,2
9,4
6,2
4,10
10,2
5,7
7,3
8,2
9,4
7,3
9,2
4,2
10,3
11,2
9,3
10,2
9,4
10,2
6,2
6,6
9,5
5,2
10,4
7,3
9,3
9,4
11,6
11,2
9,2
3,5
2,6
10,6
11,2
8,3
4,4
5,5
10,2
6,2
9,3
9,5
6,3
4,2
6,3
5,3
5,5
8,4
5,5
7,2
9,6
4,7
7,2
9,5
5,6
10,2
5,7
7,4
6,4
10,2
7,6
10,2
9,5
10,4
8,2
10,2
4,7
6,4
7,4
6,2
10,2
9,5
9,5
3,6
10,2
8,4
10,5
4,4
8,7
10,2
10,2
8,8
7,2
3,4
5,5
9,4
10,3
10,4
10,3
5,3
5,3
6,2
6,2
10,2
4,2
7,4
4,4
10,3
9,2
10,2
5,3
5,2
9,2
9,5
7,4
10,2
6,3
3,5
4,2
7,6
3,4
4,10
3,2
10,2
4,2
4,3
10,5
7,5
6,7
4,2
4,7
8,2
8,2
10,2
7,3
7,2
4,4
9,5
9,4
3,3
4,2
7,2
4,2
4,6
4,7
6,2
10,2
3,4
5,6
3,5
6,2
10,2
10,2
7,2
10,2
6,2
4,2
8,3
6,2
9,7
3,2
3,2
5,3
2,4
2,8
10,2
5,3
4,2
9,5
10,2
6,4
5,4
8,4
3,4
4,6
3,5
9,3
3,3
6,3
6,2
8,3
11,2
3,5
8,2
7,4
4,2
5,3
9,2
4,2
9,3
4,10
6,8
5,6
7,2
3,3
6,5
10,2
3,10
11,2
3,3
9,3
11,2
6,2
10,2
4,3
2,2
5,7
11,2
4,2
4,5
6,4
6,4
6,4
2,3
9,3
3,6
4,2
10,2
8,3
3,5
9,2
4,2
10,2
5,2
10,2
3,3
5,3
5,3
8,2
10,3
10,2
7,3
10,7
4,2
6,4
9,4
3,3
10,2
4,6
10,2
10,2
6,2
10,2
8,4
3,4
4,2
5,2
10,2
10,2
10,4
10,2
5,3
3,5
7,2
11,3
9,2
7,7
10,3
3,3
10,2
4,3
10,2
5,2
4,4
9,2
10,2
10,2
11,2
10,2
10,2
4,2
6,3
6,7
8,2
10,2
10,2
10,3
4,2
