RL-GNN-STREET,REUR
5,10
4,2
4,2
8,2
10,3
6,2
10,3
3,2
8,2
10,3
4,5
4,4
8,3
7,5
4,2
4,7
6,3
9,5
4,3
9,4
4,3
8,5
3,2
10,2
4,3
2,4
5,3
4,2
5,2
8,2
8,5
11,3
7,2
7,3
4,4
4,3
6,5
7,2
6,2
9,2
5,7
6,3
10,4
8,7
6,2
7,3
7,8
10,2
7,4
2,6
11,2
5,3
10,2
6,2
4,2
8,2
4,2
7,3
8,6
9,2
5,4
4,2
8,4
9,2
3,2
9,5
8,3
10,2
10,2
4,3
9,2
6,6
4,7
2,4
10,6
9,2
5,2
5,2
8,2
7,4
4,2
10,4
9,2
6,3
3,3
10,2
2,2
11,2
3,5
5,7
9,4
5,4
7,2
3,3
6,2
2,5
10,2
9,2
8,2
10,3
11,4
10,2
7,4
8,2
10,4
8,2
4,4
3,3
10,2
9,2
8,5
4,5
11,2
10,6
8,4
4,3
5,4
10,3
10,5
10,2
10,3
10,2
5,2
10,2
5,5
5,4
10,3
6,6
3,10
2,2
10,3
6,3
10,2
11,2
5,7
7,7
8,5
10,2
5,2
7,4
3,2
8,2
10,3
4,2
3,4
11,2
10,2
10,3
2,2
3,4
9,2
10,3
5,2
7,2
4,2
9,5
11,3
5,4
4,11
4,3
8,6
3,4
10,3
10,2
10,2
6,3
4,7
10,3
10,2
10,3
4,7
7,6
5,5
9,2
2,4
4,2
7,4
7,3
10,3
9,2
10,2
10,2
10,4
10,2
6,5
11,3
10,2
10,2
10,7
9,8
8,4
8,3
4,4
7,2
10,2
10,2
10,2
10,2
9,5
7,2
4,5
4,5
8,3
3,10
2,4
10,4
3,3
2,4
7,3
5,6
3,2
8,5
8,2
11,2
3,6
8,7
10,3
10,2
5,6
10,2
10,4
5,4
10,2
3,10
10,2
9,3
10,2
9,3
7,2
2,3
6,3
4,5
10,4
6,4
7,2
10,3
8,2
10,2
5,2
5,3
5,2
5,3
10,2
9,2
5,3
10,2
8,5
4,4
10,2
5,2
10,2
3,5
7,2
8,4
9,4
11,2
2,2
4,2
5,2
9,6
10,3
10,3
10,2
8,4
5,2
11,2
5,5
8,6
10,2
6,3
11,2
8,2
10,2
6,6
6,2
10,2
10,2
10,2
11,2
9,5
6,4
11,2
10,2
8,2
10,3
10,7
10,3
4,5
7,4
11,2
6,2
5,2
6,5
6,2
3,2
10,2
3,3
10,2
8,3
10,2
