RL-GNN,REUR
2,4
4,3
3,10
6,2
3,2
6,5
4,5
3,6
3,4
8,2
4,2
4,2
4,5
3,4
9,2
9,2
2,4
9,2
10,3
3,6
5,2
4,4
6,3
9,2
5,2
9,5
7,2
8,5
5,4
6,2
3,3
9,2
7,2
3,4
7,5
4,2
2,2
4,5
9,7
5,3
4,6
7,2
2,4
6,2
7,2
3,5
8,3
5,2
7,3
6,2
4,5
6,2
4,5
3,10
6,3
10,2
5,3
4,9
7,2
2,3
5,6
3,2
10,2
6,3
5,2
4,2
7,2
5,6
10,2
7,3
8,4
6,8
3,3
8,7
3,3
9,3
6,6
6,2
6,2
3,3
2,7
7,2
4,2
7,5
3,6
6,2
2,4
4,3
4,2
8,2
2,2
7,2
2,2
5,3
4,3
3,3
3,5
4,4
3,8
3,5
6,2
8,3
4,5
6,6
3,2
6,2
7,3
6,2
10,2
5,10
6,2
4,6
8,3
4,2
9,3
7,2
8,4
4,2
4,2
10,5
4,8
9,3
4,4
5,2
3,2
4,2
8,3
4,5
6,2
2,3
6,8
9,5
9,2
6,5
4,4
7,2
3,3
8,3
3,3
9,2
6,2
4,5
7,2
7,2
7,4
5,3
5,4
6,4
8,2
2,4
2,5
11,2
3,5
4,10
4,4
10,2
3,8
6,4
3,4
7,8
7,2
10,2
6,2
10,2
7,3
5,2
5,3
4,2
5,6
2,6
4,6
3,4
10,3
2,2
2,2
6,4
6,2
4,4
4,2
9,8
9,3
6,2
8,4
4,3
10,2
7,4
6,4
5,2
10,2
5,2
5,3
10,3
4,2
6,2
7,4
7,7
5,3
3,2
5,2
5,4
9,2
10,2
5,5
2,6
6,4
3,3
7,2
4,4
3,5
3,2
4,5
7,4
4,2
6,2
5,3
3,2
9,2
5,3
7,2
3,3
3,3
8,3
6,2
5,4
7,3
6,6
2,2
10,2
2,4
4,5
10,3
5,2
5,3
9,3
2,6
6,4
10,7
7,2
5,5
10,2
5,4
7,2
9,3
7,5
8,7
4,2
2,4
5,5
6,2
3,5
4,2
2,2
7,3
8,6
3,8
5,2
4,3
4,2
10,2
3,5
11,4
4,4
9,2
2,2
5,8
3,4
3,6
5,3
5,2
4,2
6,4
6,3
8,3
3,4
5,2
10,3
4,6
2,5
5,8
5,3
5,4
8,3
10,2
4,3
10,2
11,2
4,2
8,2
4,2
7,5
6,2
7,2
10,2
8,2
9,2
7,2
6,3
4,4
3,3
9,4
