RL-FF-HIER,RAN
4,3
5,4
4,4
10,2
4,6
6,6
8,2
5,4
5,5
5,6
4,2
5,2
6,2
5,5
7,5
9,2
3,6
8,2
3,2
9,2
2,2
4,4
7,2
2,2
5,2
2,2
4,4
4,2
2,3
6,2
4,3
6,3
4,3
12,4
4,4
4,7
7,2
6,2
7,6
4,4
4,3
4,5
3,4
6,3
7,2
6,4
5,3
3,2
4,2
7,3
9,2
5,12
4,4
5,4
9,6
4,2
2,3
7,2
2,2
3,5
5,2
4,4
7,3
3,2
9,5
4,6
11,2
5,2
4,2
10,3
6,6
2,3
6,3
6,6
6,2
8,2
6,2
6,8
2,3
2,2
4,2
3,4
10,6
2,3
3,5
7,2
2,6
2,4
2,5
8,2
5,4
3,7
10,2
4,3
5,3
5,2
5,2
8,2
8,5
2,3
6,5
6,2
5,3
9,7
2,6
3,3
5,3
14,2
10,2
6,2
4,3
4,7
10,2
7,2
3,2
12,8
11,5
6,6
8,2
9,3
5,2
9,2
2,5
6,2
7,4
3,8
8,2
5,2
6,4
6,2
7,5
8,3
4,5
5,4
8,2
4,6
2,6
4,2
3,2
6,3
5,4
7,4
4,2
6,2
11,4
3,7
11,4
9,2
2,6
7,5
5,2
2,2
5,6
5,2
4,4
9,2
3,5
6,3
3,3
6,3
10,2
5,2
11,2
9,2
5,2
8,2
6,2
2,6
8,2
7,4
7,5
3,4
10,2
7,2
4,6
6,2
10,3
7,2
9,4
3,5
3,4
4,4
7,5
7,2
10,2
3,2
3,5
9,3
2,7
3,2
9,3
8,5
8,2
3,2
5,2
12,4
12,2
2,4
6,2
5,9
5,4
8,5
2,7
5,2
8,2
14,2
4,7
3,5
7,2
4,2
8,5
2,2
5,4
8,2
7,3
6,9
7,2
6,2
5,2
4,2
2,6
9,2
4,4
3,5
2,5
10,3
9,5
12,2
5,4
7,3
10,2
3,5
9,2
15,4
11,2
12,2
5,2
6,2
10,3
4,4
6,3
14,2
8,2
6,8
11,2
4,6
5,2
15,2
3,7
7,4
7,3
6,2
6,2
15,2
5,2
13,2
7,4
6,4
11,7
3,4
9,4
7,2
7,2
9,3
5,3
3,2
9,4
10,2
3,4
13,3
4,2
7,2
5,2
8,3
4,5
6,2
8,6
6,3
8,4
5,4
5,5
4,6
5,8
6,2
12,2
4,5
4,5
9,2
11,4
6,3
3,2
7,3
9,3
10,4
3,6
4,8
3,6
4,2
2,3
9,2
10,4
10,4
9,2
8,3
2,2
4,4
8,5
9,2
9,2
7,2
4,3
15,2
4,4
15,3
7,2
15,3
6,3
6,2
4,4
9,2
10,4
6,3
11,2
3,4
5,6
8,4
3,4
10,2
6,5
8,2
8,3
4,7
9,3
7,3
11,7
6,2
6,4
9,2
7,2
5,5
8,2
7,2
4,3
6,2
2,2
6,6
9,3
7,7
7,2
4,5
6,2
15,3
9,2
12,2
4,3
8,3
6,2
5,7
10,4
3,5
3,4
7,2
3,2
4,3
10,5
6,2
8,2
6,2
10,2
8,2
6,2
6,3
7,2
7,2
6,2
7,4
8,2
6,2
15,2
7,2
5,3
7,2
9,3
6,4
10,2
4,6
6,2
5,5
6,2
5,2
6,7
8,3
6,6
8,2
7,2
3,7
9,3
3,2
5,2
9,2
7,4
8,4
8,7
7,2
6,6
8,5
6,2
8,3
11,3
9,4
5,2
6,2
7,4
10,3
15,3
5,2
6,8
11,3
6,2
8,3
8,3
6,5
9,2
9,5
12,7
10,4
15,5
9,8
7,5
14,2
13,7
9,3
9,2
10,2
4,3
3,2
6,2
6,2
5,2
5,4
6,2
12,2
7,2
3,6
11,2
7,2
7,5
7,3
6,2
5,3
10,2
3,4
6,4
3,2
6,2
4,5
9,2
10,2
12,3
9,3
7,3
8,6
5,8
7,2
11,2
2,3
10,3
7,3
10,3
8,3
5,2
12,3
13,2
11,2
10,2
8,3
5,2
13,3
13,2
11,7
5,2
3,2
7,2
12,5
9,2
6,2
4,2
13,5
7,5
6,3
10,2
5,2
7,4
6,2
7,3
9,3
12,4
7,2
15,2
4,7
3,4
12,2
7,3
14,2
7,2
9,2
11,3
15,5
10,4
15,2
9,4
6,2
8,2
5,3
7,8
8,2
7,2
7,8
5,6
9,3
11,2
10,2
6,2
9,2
10,3
3,8
8,6
9,2
5,9
11,2
7,3
9,2
14,2
9,6
14,2
7,10
13,4
8,3
8,2
4,2
5,5
7,2
8,2
8,3
12,2
5,2
12,6
5,2
6,4
3,2
8,2
7,10
7,2
11,2
11,2
7,3
7,2
14,2
9,3
7,2
3,3
5,11
3,4
8,7
4,3
7,3
7,6
11,4
3,7
