RL-GNN-STREET,REUR
4,4
6,4
4,3
8,4
2,5
4,3
3,2
2,6
2,7
6,4
5,3
6,11
5,4
4,4
4,4
4,2
4,2
3,4
8,2
10,6
3,4
8,2
9,2
5,2
4,7
3,4
4,4
4,5
3,7
6,3
9,3
2,3
8,2
4,2
10,2
5,7
10,5
4,2
3,5
5,2
9,3
7,7
5,5
5,3
3,2
9,3
4,3
2,6
3,2
4,4
6,3
7,7
3,4
6,4
5,3
8,4
5,2
2,5
6,4
7,4
4,10
5,3
9,2
2,3
2,4
8,3
4,10
10,2
3,4
6,3
4,11
5,4
7,4
3,2
4,3
5,6
5,5
5,8
4,4
2,10
2,5
6,3
3,5
3,2
5,3
3,4
6,2
9,4
5,5
6,2
2,6
8,2
10,5
8,5
5,3
5,6
2,8
4,10
9,4
4,6
4,5
5,3
2,4
2,5
7,2
6,5
2,5
6,3
5,3
5,2
4,6
7,3
2,10
4,8
4,5
3,4
3,4
5,3
2,10
3,5
10,2
4,4
6,2
5,2
7,6
8,5
6,2
