RL-GNN-STREET,REUR
6,2
8,3
6,2
2,2
5,3
3,3
10,4
5,2
6,3
6,2
3,3
5,3
4,2
5,3
9,3
11,5
6,2
10,3
11,3
7,5
4,5
5,2
10,2
10,2
4,4
4,4
10,3
6,3
9,2
7,3
8,3
6,5
4,2
4,2
10,3
6,4
5,3
5,5
3,2
10,2
4,2
10,2
5,2
10,2
10,4
10,2
7,3
11,2
4,3
4,2
10,2
3,7
8,6
8,4
10,2
10,2
6,5
10,3
3,7
7,3
7,2
10,2
9,5
6,2
8,3
10,2
11,2
9,3
7,2
7,2
10,3
10,2
4,7
9,2
7,5
10,2
10,2
6,2
10,4
10,4
10,2
9,3
10,2
10,2
10,3
7,2
9,4
8,4
11,2
8,2
10,5
3,5
7,4
5,5
10,3
10,4
8,4
10,2
10,6
6,4
11,2
7,2
6,2
4,4
9,5
6,5
10,2
10,5
7,5
5,10
5,5
10,2
8,2
10,2
7,6
10,2
10,3
9,3
10,2
4,2
10,3
10,3
10,5
10,7
10,2
10,3
6,3
10,2
7,3
10,3
10,2
8,4
5,3
3,3
9,4
11,2
10,5
5,2
10,2
8,3
8,4
10,8
3,3
3,2
6,2
7,4
10,8
7,3
4,2
6,4
6,5
3,4
10,2
4,2
10,2
11,2
10,3
10,4
10,5
10,2
8,5
10,5
7,2
10,2
10,3
10,2
6,4
6,2
8,2
10,2
7,2
3,3
9,2
8,3
6,5
8,8
10,2
5,2
10,2
10,2
11,2
10,4
7,2
7,3
10,3
8,4
7,6
10,2
10,6
10,2
10,2
10,5
10,2
10,4
8,4
8,3
11,2
6,4
4,2
9,4
3,8
5,8
10,3
10,2
4,4
10,3
10,2
10,2
10,2
10,2
10,3
6,4
10,4
10,3
6,5
4,2
10,3
10,2
6,2
11,2
4,8
10,3
10,7
10,2
7,2
10,2
9,2
11,2
10,2
6,3
10,2
11,4
11,2
7,4
11,2
10,3
7,2
6,8
11,5
7,2
6,2
10,4
6,2
10,2
10,2
10,2
10,5
10,2
8,4
10,2
9,4
10,2
6,4
11,4
10,2
10,9
7,3
10,2
10,2
10,5
7,4
7,5
9,4
10,3
11,2
9,2
10,2
7,4
7,3
10,3
11,2
5,6
10,2
10,2
10,2
10,2
10,2
7,5
6,5
10,2
10,2
10,2
10,3
10,3
4,2
4,2
10,2
10,2
10,2
10,2
7,7
10,3
9,2
9,2
10,2
7,2
10,2
10,2
10,2
7,3
