RL-FF-HIER,REUR
6,2
7,2
8,2
7,9
5,2
8,2
10,2
8,4
6,7
7,4
7,6
5,2
4,3
7,2
11,2
7,2
6,5
10,3
7,2
9,2
8,3
7,3
8,2
10,2
7,5
8,5
10,2
5,3
2,4
8,3
5,2
9,2
6,4
8,3
10,2
10,4
10,2
11,2
10,2
9,2
10,2
4,2
10,2
7,5
6,2
7,4
4,6
7,2
7,4
4,5
8,3
5,3
5,4
10,3
7,5
6,2
9,2
8,3
8,5
10,2
10,2
10,2
10,2
5,2
10,3
5,5
8,2
7,3
10,3
10,2
5,2
10,4
10,2
10,2
9,2
5,2
11,2
10,3
4,6
7,4
10,5
9,2
5,3
9,2
10,4
10,2
6,6
6,3
3,5
3,3
10,2
6,2
10,2
9,2
5,2
10,2
10,4
10,2
6,3
10,5
8,4
8,7
11,4
7,4
9,2
5,2
7,2
5,2
10,2
10,4
6,3
7,4
4,2
9,2
10,2
10,2
7,3
4,5
9,2
5,3
10,3
5,5
8,3
9,4
10,2
5,2
10,2
6,6
10,2
9,5
5,3
10,2
6,2
11,4
7,6
5,4
10,3
10,2
6,5
10,2
10,2
10,2
10,2
10,3
10,2
9,2
5,3
7,2
5,2
10,2
10,2
9,2
10,3
7,2
10,2
10,2
10,2
10,5
9,4
5,5
10,2
6,7
8,2
10,2
10,3
10,2
10,2
10,2
6,5
10,4
9,2
9,2
10,2
9,4
10,2
9,3
10,3
6,6
10,2
10,2
10,3
4,5
5,3
10,3
10,2
10,2
10,4
7,2
10,2
10,2
10,4
10,2
10,2
10,4
10,2
5,9
10,3
10,2
10,2
10,2
10,6
10,2
5,2
10,2
10,2
4,4
10,2
10,2
10,2
10,2
3,5
6,2
8,4
11,2
10,2
10,2
10,3
10,2
10,2
10,3
10,2
10,2
10,2
10,4
10,2
10,4
10,4
10,2
10,3
10,2
10,2
10,3
10,2
10,2
10,2
10,3
10,2
10,3
10,3
10,3
10,7
11,2
10,4
10,2
10,3
11,3
9,3
9,4
11,5
5,2
5,3
10,3
10,2
10,2
11,2
11,4
10,4
10,2
10,2
11,3
10,2
10,2
10,5
10,2
11,3
10,2
10,3
10,2
10,2
9,3
10,2
11,3
10,2
10,2
10,2
8,2
10,2
10,2
10,2
10,2
10,3
10,2
10,2
10,2
10,2
11,2
10,2
9,2
10,2
10,2
10,3
10,2
5,2
10,3
10,2
8,2
10,2
11,4
10,2
9,2
