RL-FF-HIER,REUR
5,4
5,4
4,3
8,5
10,3
10,4
9,3
10,4
10,3
6,2
10,3
9,2
3,3
7,3
4,4
6,2
10,2
10,2
6,4
5,2
9,2
10,2
3,8
10,2
6,4
7,3
5,2
4,3
11,2
6,3
7,5
3,4
4,3
10,2
7,7
8,2
10,4
7,4
10,3
8,2
6,5
11,3
4,2
7,4
5,5
8,2
11,2
11,2
10,2
9,2
5,3
10,3
9,2
10,2
3,2
10,2
10,2
5,3
4,3
7,3
6,5
10,2
6,5
6,3
4,4
10,4
9,2
11,3
11,2
10,2
9,5
5,2
7,2
5,3
10,2
7,4
6,3
7,2
11,3
11,2
10,2
5,5
6,6
10,3
10,2
11,2
3,3
9,2
11,2
10,2
11,3
11,2
9,2
10,2
10,2
5,2
9,2
10,4
10,2
11,2
10,3
11,2
10,2
8,4
8,2
10,4
5,4
10,2
7,4
6,2
10,2
10,3
10,2
10,2
5,2
6,5
7,3
11,2
11,2
10,2
10,2
9,2
10,2
10,2
11,2
9,2
9,3
10,4
10,2
10,2
10,3
10,2
10,2
6,7
10,2
7,2
10,2
4,9
10,3
4,4
10,2
10,2
10,2
6,2
8,2
10,2
10,2
10,2
8,3
7,2
11,3
9,2
4,4
10,2
10,2
10,2
10,2
10,4
10,3
10,2
10,2
11,4
10,2
8,2
11,4
5,3
10,2
10,2
10,2
10,2
4,6
10,4
10,7
8,2
10,2
10,2
10,2
10,2
10,2
10,2
5,3
10,3
10,2
8,7
11,2
11,2
10,3
6,5
10,2
10,2
10,2
11,4
10,2
11,2
10,2
10,4
10,2
8,4
11,2
10,2
10,2
10,2
8,5
11,2
10,3
10,4
10,4
10,4
11,3
10,2
11,2
6,3
6,5
11,3
10,5
9,4
10,3
10,2
11,3
10,2
7,5
10,3
11,2
10,2
11,2
8,5
10,2
10,2
9,3
11,2
10,2
10,2
10,3
10,2
10,2
11,2
10,2
10,5
11,4
11,2
10,2
10,2
10,2
6,4
10,2
10,4
10,3
10,2
10,2
7,6
10,4
10,3
10,2
10,2
6,3
10,2
6,2
10,2
9,2
10,4
10,5
7,3
6,4
10,2
11,2
10,2
6,3
10,4
7,2
10,3
11,5
9,3
11,2
10,2
10,2
10,2
10,2
11,2
11,2
11,2
10,3
11,2
10,4
11,4
10,4
10,2
10,2
10,2
10,3
10,2
11,2
10,4
10,2
7,2
6,3
10,2
9,3
11,3
10,4
10,2
