RL-GNN-STREET,REUR
5,4
4,5
7,4
8,5
10,3
6,7
10,2
9,2
10,4
5,3
7,3
5,3
5,2
5,3
8,2
5,2
6,2
9,2
7,2
6,2
11,3
6,4
8,2
9,7
7,2
10,3
5,4
5,3
9,4
6,5
5,7
8,4
3,5
8,4
5,10
7,4
9,2
9,2
9,3
10,3
9,4
6,4
7,6
10,2
6,4
10,2
4,3
10,2
8,2
8,6
10,4
5,3
10,2
10,2
8,2
10,3
9,2
7,5
9,3
6,3
9,3
8,7
10,2
8,2
11,2
11,2
10,2
9,4
9,2
10,6
9,2
7,5
10,3
10,3
10,4
5,2
11,3
9,4
10,2
9,3
10,3
11,2
8,2
11,4
10,2
10,2
6,2
10,2
6,2
10,2
8,3
6,4
7,3
6,2
6,2
10,4
11,2
8,3
9,2
10,2
6,4
10,2
4,2
7,6
10,4
10,2
10,2
10,2
8,2
8,2
4,2
5,4
10,2
8,2
10,3
10,2
10,2
8,3
10,7
11,2
6,3
7,2
10,3
10,2
8,3
9,4
10,2
6,4
10,2
11,5
10,5
8,4
4,4
10,3
10,2
9,6
5,5
11,2
9,4
11,2
10,3
10,5
9,3
10,2
11,2
10,2
4,10
10,4
10,2
10,6
9,3
10,2
10,4
11,3
10,4
8,5
9,7
6,3
10,2
10,3
7,3
10,3
10,2
8,3
7,6
9,4
10,4
10,2
10,4
10,2
10,4
10,4
11,2
10,2
10,3
10,2
10,2
10,7
10,2
10,2
10,4
7,5
8,4
9,2
11,5
10,3
8,3
10,2
10,2
11,2
10,2
6,2
8,2
10,3
10,2
9,3
7,2
11,2
10,3
10,2
10,3
8,2
7,2
3,9
10,2
6,2
10,2
10,3
10,3
10,3
10,4
11,2
10,2
10,7
10,4
10,2
10,2
11,2
6,4
10,3
11,2
10,3
10,2
11,2
10,2
10,2
10,2
10,2
5,5
10,2
10,2
10,2
5,6
9,5
10,3
10,2
10,2
10,9
10,5
11,2
11,6
10,3
10,2
10,6
11,2
7,5
10,2
10,2
10,2
10,3
11,5
11,2
10,2
10,7
11,2
10,2
8,3
10,2
10,3
4,5
10,2
7,8
10,2
11,2
9,8
10,2
10,5
10,3
10,2
6,2
10,2
10,2
10,4
8,2
10,3
10,2
10,3
10,2
10,2
10,6
11,2
10,2
10,2
6,5
10,2
10,2
10,5
10,2
11,3
10,4
10,2
10,2
10,4
9,3
10,2
11,6
11,2
11,2
8,2
11,5
