RL-GNN-HIER,REUR
10,5
5,10
9,2
10,3
10,2
10,2
10,5
10,2
7,11
10,2
6,6
10,9
10,3
7,10
4,9
10,3
10,2
9,2
11,2
4,10
8,2
10,5
11,3
3,10
11,3
8,2
6,8
9,10
11,2
10,6
4,10
8,6
10,2
9,10
10,7
10,2
10,2
5,5
8,5
8,3
7,10
10,9
10,3
4,2
11,3
10,2
10,2
11,4
10,4
10,2
6,8
3,4
6,7
10,2
10,6
2,10
9,10
10,8
10,3
11,2
10,5
2,10
10,2
10,5
10,2
11,2
10,4
10,2
7,8
10,4
10,3
10,2
6,5
11,2
10,4
11,3
5,4
10,3
10,4
10,5
11,2
10,3
10,7
10,9
11,2
9,6
11,3
8,9
11,2
10,2
10,3
10,5
10,8
10,6
10,3
10,2
10,2
10,2
10,5
4,11
7,2
11,3
10,4
10,2
10,6
7,10
10,2
9,3
8,6
10,3
10,7
10,4
7,3
10,2
10,6
10,3
10,2
10,3
10,2
11,6
4,7
10,2
5,10
10,6
11,2
10,2
11,2
10,4
10,4
10,5
10,3
4,10
11,4
10,3
10,6
11,2
10,5
11,2
6,9
10,4
10,4
10,3
10,2
11,4
10,2
10,2
10,4
7,5
10,2
10,3
11,2
11,3
10,4
10,2
10,2
10,8
8,10
10,2
10,5
8,8
4,10
9,4
10,3
7,10
9,5
8,7
10,3
11,5
10,9
5,10
10,4
10,3
9,9
11,2
8,10
10,5
8,10
6,10
3,10
6,10
10,4
9,6
10,5
11,2
10,4
10,5
11,6
8,11
10,4
10,6
10,4
10,2
10,3
8,9
5,10
9,10
9,4
10,3
10,8
9,10
5,5
8,10
10,2
10,2
10,4
10,2
10,4
10,2
10,2
10,2
10,4
11,2
10,2
10,2
6,10
9,9
10,6
11,3
10,2
10,4
8,9
10,4
10,2
10,2
10,4
11,3
10,7
10,2
10,5
10,4
9,8
4,10
10,3
7,10
10,2
10,7
10,6
9,10
10,6
10,3
5,10
9,10
6,10
10,3
10,3
9,5
10,5
9,10
11,2
10,2
9,10
7,10
11,2
6,8
10,2
10,3
10,4
10,2
10,4
10,4
7,10
6,3
10,5
7,10
10,2
10,3
10,5
10,3
8,5
10,4
10,3
7,3
9,2
7,10
10,4
10,4
10,5
11,3
10,4
10,7
7,8
10,3
9,2
10,3
10,3
10,6
8,2
10,7
10,3
10,2
10,2
9,9
10,3
11,3
11,2
5,8
10,4
10,4
10,2
11,2
10,4
10,4
11,3
10,4
11,2
10,4
5,11
7,10
7,7
10,2
10,5
3,11
11,4
10,6
10,2
11,2
10,8
5,6
10,6
10,2
10,5
8,6
10,2
10,2
10,5
11,3
5,6
6,10
6,11
6,5
9,3
9,7
10,2
3,10
10,4
10,6
9,10
10,5
10,4
10,2
10,2
7,10
11,4
9,2
11,2
10,2
10,6
8,5
10,9
10,5
9,8
8,6
10,4
10,3
9,10
10,6
10,3
10,4
10,2
5,10
8,5
10,8
10,3
10,7
10,4
9,10
10,3
7,11
5,3
10,3
10,3
10,9
6,8
10,2
6,10
10,3
10,6
10,2
10,3
11,2
7,7
10,6
10,4
10,2
9,5
9,5
9,10
10,6
10,2
10,2
10,5
11,2
10,3
9,10
5,3
10,4
10,2
11,2
10,7
10,5
10,2
10,5
10,2
10,2
3,11
10,2
10,2
10,3
10,2
10,3
9,10
10,2
10,2
7,2
8,6
10,3
10,9
10,2
10,4
10,5
9,10
9,5
6,10
6,10
10,4
10,4
9,7
10,6
7,10
10,2
5,7
10,3
10,2
10,2
10,4
8,6
10,2
11,4
10,6
10,6
8,10
10,3
3,10
10,4
10,3
10,2
9,2
10,8
10,4
10,2
8,4
10,4
11,2
10,2
10,2
11,5
10,3
7,7
10,3
10,7
11,3
10,6
10,2
6,2
10,5
5,10
10,3
10,3
11,3
10,3
10,2
6,7
9,4
10,4
4,10
10,2
10,4
10,6
10,3
7,6
6,6
10,4
11,4
10,2
5,4
10,5
10,4
10,4
8,6
10,2
9,10
7,4
10,6
8,7
10,5
10,2
11,3
3,10
10,4
10,2
