RL-GNN-HIER,RAN
10,2
8,6
10,3
6,4
10,5
10,7
10,6
10,5
7,3
6,10
10,6
10,2
6,4
7,5
6,4
8,6
4,10
10,2
10,2
10,3
10,2
9,5
11,6
7,3
3,3
6,4
9,3
8,6
4,10
10,2
5,9
10,3
6,7
10,5
11,2
8,6
4,9
6,10
10,2
10,2
10,4
5,11
9,2
10,3
10,3
11,5
10,4
6,10
11,2
10,6
10,2
10,5
9,4
7,10
10,2
8,4
11,2
6,3
9,7
10,5
9,5
5,10
7,4
8,3
6,8
10,3
7,2
10,4
10,2
7,3
9,10
10,5
11,2
10,3
9,4
7,3
5,10
9,4
10,4
10,6
7,7
8,7
10,2
10,2
7,7
9,9
4,6
11,6
10,6
10,2
5,2
7,8
9,8
10,5
10,2
10,2
6,6
9,11
10,8
11,2
10,2
6,10
10,2
10,2
5,10
10,2
10,3
5,2
2,10
4,7
5,10
7,10
10,3
10,3
7,3
5,10
10,2
5,10
10,2
10,2
10,2
2,10
10,3
6,10
10,3
10,4
4,10
6,5
10,2
8,8
4,8
10,4
10,3
5,10
10,2
11,5
10,2
10,2
6,10
6,8
10,7
5,7
10,5
10,3
11,6
4,10
4,10
5,7
10,3
10,4
10,7
10,5
10,2
10,4
6,6
7,6
10,8
6,4
2,11
10,2
7,2
11,7
3,10
9,10
10,3
10,4
10,3
8,10
11,3
9,3
9,4
5,3
8,6
8,8
6,10
8,2
10,2
10,3
9,5
5,3
4,4
11,6
8,2
10,2
6,10
8,8
6,11
7,9
11,4
10,2
11,4
6,10
7,7
9,4
10,4
10,5
10,4
9,4
10,3
6,9
10,3
10,3
10,5
10,2
9,10
8,10
10,2
10,3
2,10
10,4
10,2
11,4
11,4
10,4
11,6
6,7
9,5
8,2
6,8
10,2
10,2
10,4
10,4
10,3
10,7
10,3
10,8
9,4
10,3
9,8
9,3
4,10
10,5
8,3
5,2
10,4
4,7
10,2
2,4
8,3
11,2
10,4
10,6
11,2
5,7
11,2
11,2
9,4
8,7
3,8
10,3
8,3
7,4
10,4
8,3
10,3
4,7
9,3
10,2
7,6
7,4
10,3
10,3
9,4
10,5
10,5
2,10
10,9
10,3
10,4
10,2
10,6
10,5
4,5
10,5
10,2
10,2
10,4
10,2
10,7
8,6
10,6
10,7
7,4
6,10
11,2
4,4
7,2
5,4
6,10
10,2
3,10
10,4
10,6
10,3
10,2
9,3
6,10
10,5
10,3
10,4
10,5
6,10
7,7
10,9
10,3
10,4
10,2
9,4
10,3
3,10
10,3
10,7
10,2
10,9
10,8
10,4
10,3
10,5
10,4
10,3
5,5
10,8
10,6
9,9
9,10
10,2
10,3
10,5
10,2
10,2
8,10
10,6
8,10
10,2
10,7
5,5
8,10
11,3
10,5
2,10
3,5
10,2
5,11
8,5
10,2
10,4
4,6
7,10
4,11
10,2
10,4
10,2
10,4
10,7
10,4
10,3
4,10
11,2
10,2
3,10
10,3
10,4
7,8
10,2
8,2
10,4
10,2
10,2
6,5
9,11
5,5
8,8
10,6
11,2
10,3
4,8
6,4
11,2
11,2
10,7
5,11
10,4
7,10
9,10
10,5
10,2
10,6
10,2
10,2
4,5
5,10
10,5
10,6
6,10
10,3
10,5
3,10
10,2
4,10
7,5
10,2
2,10
9,4
10,2
6,2
10,3
10,3
10,4
10,2
7,3
11,2
10,5
10,2
10,3
9,10
11,5
3,10
11,5
10,4
10,2
8,4
5,10
11,3
10,4
9,4
10,2
10,4
10,2
10,2
9,10
11,4
10,2
11,3
6,10
10,2
11,3
10,2
6,2
6,6
10,2
11,6
3,9
10,5
9,4
11,2
10,3
10,4
10,6
10,4
10,3
10,2
10,5
10,6
10,2
11,2
10,2
10,4
10,3
10,2
10,2
7,9
10,5
10,2
9,10
8,4
10,4
5,10
10,9
10,2
10,8
10,3
8,3
10,4
10,2
9,3
10,5
10,2
11,3
11,3
10,5
8,10
4,11
10,2
10,2
10,7
10,2
6,10
10,4
10,3
6,3
10,2
10,6
3,5
6,2
10,2
10,4
6,9
10,4
10,3
