RL-GNN-STREET,REUR
4,4
5,2
10,2
5,2
8,4
10,4
8,4
4,5
2,2
10,4
3,7
6,3
7,5
9,7
3,4
11,3
10,3
5,2
5,4
8,5
8,3
10,2
5,2
9,2
10,2
3,5
9,2
10,2
10,2
6,5
3,5
6,3
7,2
7,11
8,2
5,2
5,2
4,2
6,3
9,6
10,2
7,4
9,2
5,9
10,2
10,2
5,4
7,4
8,2
4,2
5,2
10,2
5,4
5,5
4,3
10,2
4,5
10,2
2,2
5,3
9,2
10,8
9,5
10,2
8,2
10,3
10,4
10,2
8,2
4,3
3,3
10,2
10,2
3,2
6,2
10,2
9,2
8,3
10,5
11,4
5,3
10,2
5,2
11,2
10,3
10,2
5,5
11,2
10,7
6,4
3,6
5,2
10,2
8,2
3,3
9,2
8,2
10,3
5,3
10,2
10,3
10,2
10,2
10,4
10,4
9,5
7,4
6,4
10,4
8,3
7,2
10,5
10,2
10,2
10,2
10,5
10,2
10,2
10,2
6,4
9,3
8,2
11,2
10,2
10,2
5,2
6,3
11,3
10,3
8,2
6,3
5,2
10,5
10,6
9,4
10,2
9,3
10,2
10,2
10,2
10,2
10,3
10,2
10,2
9,6
10,2
7,4
7,3
10,4
10,2
5,2
3,3
4,2
6,2
5,4
10,2
7,8
10,5
10,2
9,2
10,5
6,4
6,3
5,2
10,2
8,2
8,3
6,3
4,7
10,2
10,2
3,3
9,2
9,3
10,2
3,5
5,4
8,3
8,3
11,2
10,8
10,2
11,4
8,2
4,2
9,5
10,2
7,5
11,3
10,5
10,2
8,2
6,10
5,3
10,2
10,2
10,2
9,2
11,3
10,2
10,2
10,4
8,2
10,2
10,3
5,4
10,2
10,6
10,2
11,4
10,2
9,2
10,2
10,3
10,4
8,3
10,4
10,2
10,2
10,2
10,2
7,6
10,2
11,3
9,2
9,2
10,2
8,2
10,2
6,4
5,8
10,3
11,2
10,2
10,2
10,2
6,2
10,3
10,2
9,3
11,2
9,4
9,2
10,2
11,2
10,2
10,2
6,7
10,4
10,2
8,3
10,2
10,3
11,4
10,2
6,3
11,4
10,2
10,2
10,2
7,3
10,3
7,7
4,3
10,5
10,4
10,4
11,2
10,2
8,4
11,3
10,2
10,2
4,5
10,5
10,5
10,4
10,2
4,2
9,4
11,3
10,9
8,5
10,2
10,2
6,2
10,2
10,2
10,6
8,5
10,3
10,2
4,4
6,2
7,2
9,4
9,3
10,3
11,2
10,2
