RL-GNN-STREET,REUR
5,4
5,8
2,3
7,3
2,2
3,3
8,2
10,2
6,3
6,6
10,3
9,4
11,2
5,5
9,2
4,4
5,3
6,2
8,3
5,3
8,2
11,5
6,2
7,3
6,2
10,2
5,2
10,2
8,2
9,5
8,2
5,3
4,4
10,2
5,5
7,3
7,2
7,5
10,2
10,3
5,7
10,2
7,4
10,4
4,4
10,2
8,2
10,3
10,2
8,3
9,2
8,2
9,2
6,2
7,4
11,3
10,2
10,2
9,2
9,3
4,5
10,2
9,2
9,3
10,2
10,4
10,2
10,2
10,2
10,2
10,2
10,2
4,2
7,3
10,2
10,2
8,3
6,2
2,4
5,3
9,2
10,3
10,4
6,3
10,3
10,3
6,4
10,2
9,5
9,2
11,3
10,2
9,2
6,2
10,2
10,3
10,3
10,3
11,4
11,3
8,8
10,2
10,3
10,2
4,4
4,4
10,2
11,3
10,4
8,2
9,2
10,3
11,4
6,2
10,3
10,2
10,3
6,3
8,6
8,2
5,2
11,3
11,2
4,2
5,2
10,7
10,3
10,2
10,2
9,2
10,2
8,5
9,2
10,2
10,3
10,2
10,4
10,2
10,2
10,2
7,7
9,5
8,3
9,3
10,3
10,3
8,2
6,3
8,3
8,3
5,3
8,2
10,2
6,2
4,2
10,2
10,2
8,2
6,2
10,3
10,2
10,2
5,2
7,3
10,6
6,5
6,3
7,2
10,3
8,2
10,2
10,4
8,2
10,2
7,2
11,3
10,2
6,3
9,3
10,3
10,2
10,2
10,2
10,2
8,6
4,4
11,2
10,3
9,4
11,2
10,2
10,3
10,4
10,2
10,2
10,2
10,2
10,3
10,2
9,3
