RL-GNN-STREET,REUR
5,5
7,3
6,4
9,4
5,3
3,2
8,4
3,3
3,2
7,6
10,2
11,2
6,2
5,4
3,9
10,3
7,2
10,2
5,2
5,5
9,3
5,2
9,5
8,5
10,5
9,5
10,5
9,6
7,2
7,2
8,2
6,6
4,4
9,2
8,2
5,3
3,3
7,5
10,5
5,3
11,3
3,6
11,2
10,2
6,4
9,2
7,2
10,3
5,4
10,2
8,2
10,2
11,4
10,2
9,3
10,3
11,2
10,4
7,5
7,2
5,7
5,2
10,2
6,5
6,2
3,4
10,4
10,3
10,2
6,2
10,3
10,2
8,4
5,3
6,5
11,3
10,2
6,3
8,5
6,5
10,2
6,2
10,2
5,2
9,4
10,2
9,3
10,2
10,2
10,4
10,2
11,2
6,2
6,4
10,2
7,4
10,3
10,5
7,6
9,2
10,2
10,2
8,2
10,4
10,2
9,2
6,2
7,3
10,2
11,2
10,2
3,2
10,2
10,2
6,2
10,2
7,2
6,4
6,7
10,2
5,9
8,4
10,2
10,2
5,3
10,2
8,2
10,2
6,3
6,3
10,2
10,2
6,3
10,4
10,2
10,2
10,2
10,2
5,3
10,2
11,2
10,4
6,3
6,3
11,3
6,2
6,2
7,4
7,3
8,6
5,5
10,2
7,2
11,2
2,2
6,2
10,3
7,2
10,2
4,2
9,2
10,2
10,2
8,3
9,2
9,4
10,2
10,2
7,4
3,4
10,2
6,4
10,3
10,2
10,2
11,2
10,2
10,4
9,5
4,2
4,4
9,4
10,2
2,4
9,4
7,2
10,4
10,3
5,3
10,4
10,2
3,6
10,6
9,2
10,2
8,2
8,3
11,2
10,2
6,5
