RL-GNN,REUR
8,4
6,2
3,6
6,4
2,2
10,2
2,3
2,3
6,6
7,4
5,3
7,3
6,5
8,3
6,5
2,6
8,2
2,2
5,10
4,4
3,4
5,2
6,5
4,3
4,2
9,3
5,2
4,2
6,6
7,2
3,3
4,2
6,2
9,4
8,2
10,2
7,3
7,8
3,6
3,4
6,4
5,6
9,4
2,2
6,2
7,2
4,7
6,2
4,2
2,2
4,2
9,3
4,3
3,4
3,5
6,6
4,6
6,3
6,2
4,3
9,3
7,2
11,2
3,2
10,3
4,2
5,2
10,2
3,3
4,2
3,8
5,3
7,5
3,5
11,2
10,2
6,7
10,3
4,3
6,2
6,2
9,2
8,3
4,4
2,2
5,2
9,2
6,2
10,2
8,3
6,2
5,2
4,2
4,3
7,3
7,9
10,2
2,4
5,2
2,6
6,3
7,10
4,6
10,3
5,3
4,2
6,3
5,2
7,6
2,4
4,2
4,4
7,5
5,3
4,2
10,2
8,4
5,4
9,4
6,5
8,2
10,2
5,8
6,3
4,3
8,3
6,5
5,3
6,3
3,2
6,4
10,2
3,5
4,3
5,2
4,5
4,3
8,2
3,3
5,2
2,11
4,4
8,4
5,2
6,9
8,6
8,4
8,4
6,3
5,3
9,3
6,6
3,4
6,2
8,2
4,7
5,3
4,2
5,2
5,2
8,2
6,3
4,3
4,4
6,2
4,2
7,2
8,2
10,2
10,2
2,3
5,6
6,2
9,3
5,7
10,2
2,2
6,5
6,2
5,3
5,2
8,5
4,4
7,3
10,3
6,3
4,6
3,3
3,2
2,9
10,3
3,4
5,2
7,2
10,2
7,2
8,3
5,2
7,2
6,3
