REUR,REUR
5,4
5,2
2,4
4,4
2,6
5,5
5,6
2,6
4,4
4,6
8,2
4,4
5,2
8,3
7,3
3,5
7,4
2,2
6,3
4,4
4,5
6,4
4,4
5,6
2,2
5,2
6,2
7,4
4,5
6,5
4,4
4,2
3,4
4,2
2,3
7,3
7,2
4,4
2,7
7,2
2,2
8,6
6,9
6,3
2,3
2,2
6,2
4,2
6,2
2,2
3,4
10,2
6,5
4,6
6,2
10,2
2,2
8,2
4,2
8,2
7,2
6,7
9,2
2,2
2,6
9,4
8,3
3,10
10,3
2,2
3,4
5,5
7,7
2,2
3,5
10,2
5,3
7,4
3,3
4,5
2,4
5,3
5,3
4,2
3,2
4,2
4,2
3,7
5,3
6,3
4,3
5,2
8,6
2,2
6,3
6,2
3,6
4,5
2,2
5,2
6,2
10,4
2,4
4,2
4,3
2,7
2,3
3,6
3,7
6,2
8,2
6,3
6,3
4,2
7,4
4,3
4,4
5,7
2,10
6,5
2,2
4,2
5,6
8,3
4,4
3,7
6,3
4,2
7,2
2,2
3,2
5,3
9,2
4,2
6,2
7,2
2,5
4,2
3,3
2,6
10,2
3,4
5,4
7,4
4,3
8,2
7,2
8,2
6,4
4,2
3,7
2,5
4,2
8,2
4,2
6,4
5,10
4,4
4,6
2,7
6,3
5,3
9,3
3,7
8,4
2,4
6,2
6,2
2,9
4,10
10,7
5,5
2,2
5,3
5,3
6,7
2,3
6,2
2,2
3,6
5,4
5,5
2,6
10,2
5,2
10,2
4,4
9,3
5,4
2,5
6,4
7,2
5,8
4,2
5,2
2,5
2,2
3,3
7,4
4,2
