RL-GNN-STREET,REUR
6,3
6,5
4,4
2,2
5,2
10,2
2,4
6,2
5,2
10,2
5,4
3,3
2,2
8,2
7,5
7,8
9,2
9,3
5,2
10,3
7,4
9,3
5,3
9,2
4,2
7,4
7,2
4,4
5,3
7,6
7,4
4,3
10,2
7,5
7,3
5,4
4,6
8,3
8,5
10,3
8,5
10,2
6,8
10,2
5,3
6,9
10,2
10,4
4,3
10,3
3,2
9,4
4,5
10,2
11,3
7,4
6,6
10,2
9,4
11,3
10,6
9,2
4,6
10,4
8,2
10,3
10,3
7,2
4,5
7,3
9,6
2,2
2,4
10,2
5,2
7,3
8,5
5,2
10,2
10,3
5,2
9,2
6,5
9,2
6,2
3,3
8,2
3,5
10,3
2,4
10,4
10,2
10,2
10,4
5,4
10,2
5,4
7,3
10,2
4,4
10,2
5,4
10,2
6,6
5,2
6,3
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
8,6
7,2
6,2
5,3
10,3
10,2
10,2
10,2
10,3
10,2
